block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,70,1,0,poisson,798,235,810.959834,1399.040679,30172,72177,739456
128k,70,1,0,poisson,834,246,711.497723,1371.08655,31488,75324,739456
128k,70,1,0,poisson,845,249,692.389234,1353.972304,31923,76366,739456
128k,70,1,0,poisson,839,247,674.015321,1368.683919,31704,75841,739456
128k,70,1,0,poisson,848,250,644.269979,1367.151463,32043,76651,739456
128k,70,1,0,poisson,845,249,639.672878,1376.898563,31894,76295,739456
128k,70,1,0,poisson,825,243,613.563147,1423.77497,31192,74617,739456
128k,70,1,0,poisson,825,243,606.501449,1427.990306,31145,74504,739456
128k,70,1,0,poisson,856,252,596.860041,1368.29202,32324,77324,739456
128k,70,1,0,poisson,882,260,566.441822,1339.319889,33331,79734,739456
128k,70,1,0,poisson,862,254,602.821532,1358.94582,32549,77862,739456
128k,70,1,0,poisson,863,254,601.398758,1356.256361,32604,77993,739456
128k,70,1,0,poisson,846,249,636.364803,1373.221395,31983,76508,739456
128k,70,2,0,poisson,815,240,678.026915,1418.810109,30776,73621,739456
128k,70,2,0,poisson,815,240,664.710145,1421.990306,30813,73709,739456
128k,70,2,0,poisson,815,240,661.826087,1422.931279,30810,73702,739456
128k,70,2,0,poisson,812,239,804.156108,1376.570365,30700,73438,739456
128k,70,2,0,poisson,815,240,734.638923,1394.548035,30807,73695,739456
128k,70,2,0,poisson,815,240,728.477019,1396.036524,30807,73695,739456
128k,70,1,1,poisson,745,124,1195.538835,2792.26567,15996,79525,890368
128k,70,1,1,poisson,757,126,1237.0089,2744.253882,16133,80780,890368
128k,70,1,1,poisson,749,125,1216.868123,2773.443214,16063,79925,890368
128k,70,1,1,poisson,752,125,1217.013754,2762.34517,16084,80307,890368
128k,70,1,1,poisson,744,125,1160.710356,2793.472542,16081,79235,890368
128k,70,1,1,poisson,741,124,1163.752427,2806.880966,15990,79038,890368
128k,70,1,1,poisson,744,125,1150.386731,2801.335681,16069,79270,890368
128k,70,4,0,poisson,605,178,1105.208282,1843.536957,22852,54665,739456
128k,70,4,0,poisson,605,178,1078.180538,1857.941492,22867,54701,739456
128k,70,3,1,poisson,655,143,1414.243304,2460.571094,18353,65546,819200
