block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,60,1,0,poisson,948,379,556.331298,1353.03193,48518,72844,629376
128k,60,1,0,poisson,965,386,531.387786,1342.580435,49410,74183,629376
128k,60,1,0,poisson,936,374,548.624122,1379.066097,47957,72002,629376
128k,60,1,0,poisson,926,370,589.59145,1375.992068,47469,71268,629376
128k,60,1,0,poisson,911,364,602.765802,1395.665243,46655,70047,629376
128k,60,1,0,poisson,920,368,614.156031,1371.802929,47111,70732,629376
128k,60,1,0,poisson,924,369,595.670534,1374.201342,47329,71059,629376
128k,60,1,0,poisson,925,370,628.083359,1349.480984,47361,71107,629376
128k,60,1,0,poisson,948,379,582.763664,1339.079113,48529,72861,629376
128k,60,1,0,poisson,948,379,578.147176,1337.912955,48569,72920,629376
128k,60,1,0,poisson,941,376,595.929466,1339.394753,48200,72367,629376
128k,60,1,0,poisson,943,377,579.811603,1351.614399,48283,72492,629376
128k,60,1,0,poisson,931,372,613.046718,1348.026642,47690,71601,629376
128k,60,2,0,poisson,850,340,707.518473,1455.228595,43562,65403,629376
128k,60,2,0,poisson,850,340,682.431145,1471.133008,43557,65396,629376
128k,60,2,0,poisson,848,339,712.814656,1456.152939,43453,65240,629376
128k,60,2,0,poisson,828,331,715.101985,1500.742526,42454,63740,629376
128k,60,2,0,poisson,850,340,695.040611,1462.900956,43562,65403,629376
128k,60,2,0,poisson,850,340,706.016183,1458.167175,43521,65342,629376
128k,60,1,1,poisson,842,200,992.885766,2553.22638,25716,82271,834560
128k,60,1,1,poisson,841,199,994.428828,2558.663497,25590,82303,834560
128k,60,1,1,poisson,847,202,1038.9689,2524.999233,25944,82588,834560
128k,60,1,1,poisson,844,201,1011.65012,2547.832669,25747,82336,834560
128k,60,1,1,poisson,837,200,1033.107656,2558.644172,25661,81595,834560
128k,60,1,1,poisson,841,199,1017.902512,2556.761656,25544,82287,834560
128k,60,1,1,poisson,843,200,1012.590311,2546.670399,25710,82384,834560
128k,60,4,0,poisson,611,244,1161.397252,1918.169005,31356,47077,629376
128k,60,4,0,poisson,613,245,1129.443053,1938.057555,31377,47108,629376
128k,60,3,1,poisson,689,205,1452.027448,2404.090593,26306,61979,736128
128k,60,3,1,poisson,685,204,1404.891848,2444.16345,26183,61688,736128
128k,60,3,1,poisson,686,204,1433.759115,2428.232134,26207,61745,736128
128k,60,3,1,poisson,688,205,1426.954937,2425.414363,26269,61890,736128
128k,60,2,2,poisson,636,141,2112.448565,3265.28773,18130,63392,834560
128k,60,2,2,poisson,632,139,2158.617225,3284.755982,17898,63185,834560
128k,60,2,2,poisson,632,139,2157.373804,3282.95092,17907,63185,834560
128k,60,2,2,poisson,633,140,2143.199761,3275.32454,17993,63205,834560
128k,60,2,2,poisson,631,138,2164.209928,3304.935123,17685,63133,834560
128k,60,1,3,poisson,747,186,1022.324755,2239.796773,23862,71824,944128
128k,60,1,3,poisson,747,187,1051.867647,2236.402251,24016,71796,944128
128k,60,6,0,poisson,658,268,1065.08793,1797.431082,34354,50008,233088
128k,60,5,1,poisson,693,232,1244.955296,1991.921194,29738,59043,261504
128k,60,5,1,poisson,680,228,1300.559767,2039.755262,29185,57944,261504
128k,60,4,2,poisson,663,176,1739.572304,2771.756649,22558,62368,288768
128k,60,4,2,poisson,661,175,1760.154412,2765.08422,22520,62261,288768
128k,60,4,2,poisson,662,176,1762.060049,2758.542553,22544,62328,288768
128k,60,3,3,poisson,683,145,2122.128501,3007.963489,18578,68935,315520
128k,60,3,3,poisson,682,145,2126.635914,3009.51927,18583,68800,315520
128k,60,3,3,poisson,683,145,2119.016474,3011.698174,18565,68890,315520
128k,60,3,3,poisson,683,145,2112.99341,3004.633266,18618,68890,315520
128k,60,2,4,poisson,774,179,1436.015228,2266.494025,22954,76208,342784
128k,60,2,4,poisson,774,179,1447.060914,2267.923077,22923,76174,342784
128k,60,1,5,poisson,1034,381,542.420792,1661.680139,48877,83623,367360
128k,60,8,0,poisson,618,252,1164.31878,1894.416667,32362,46918,310272
128k,60,7,1,poisson,644,229,1231.600962,2028.738636,29335,53190,337920
128k,60,6,2,poisson,623,190,1639.317346,2659.518805,24387,55461,364160
128k,60,5,3,poisson,613,154,2108.16035,3098.362895,19726,58795,392576
128k,60,6,2,poisson,622,190,1638.813749,2640.871002,24342,55360,364160
128k,60,5,3,poisson,618,155,2091.475219,3070.830127,19893,59292,392576
128k,60,4,4,poisson,626,130,2499.036765,3279.950305,16692,63573,419840
128k,60,4,4,poisson,626,130,2507.034314,3270.315854,16714,63544,419840
128k,60,4,4,poisson,626,130,2493.185049,3272.314024,16746,63583,419840
128k,60,3,5,poisson,687,146,2089.962109,2643.943537,18812,69271,446592
128k,60,3,5,poisson,684,147,2091.364086,2658.214961,18817,68738,446592
128k,60,2,6,poisson,761,183,1396.738579,2136.015667,23522,74074,473856
128k,60,1,7,poisson,991,373,557.910891,1706.296867,47792,79128,498432
128k,60,11,1,poisson,648,241,1217.645669,1895.848626,30944,52223,246912
128k,60,10,2,poisson,634,212,1419.111759,2220.321586,27207,54018,261504
128k,60,9,3,poisson,638,191,1584.876087,2536.011617,24497,57303,275456
128k,60,8,4,poisson,641,170,1841.742647,2819.152039,21819,60323,288768
128k,60,8,4,poisson,641,170,1842.966912,2817.335106,21823,60335,288768
128k,60,7,5,poisson,641,148,2189.367978,3066.647881,19054,63157,302080
128k,60,6,6,poisson,657,136,2429.85173,3107.707911,17408,66734,315520
128k,60,6,6,poisson,664,141,2281.894563,3056.591886,18170,67060,315520
128k,60,5,7,poisson,687,144,2244.099206,2742.120717,18432,69566,328704
128k,60,5,7,poisson,690,145,2214.571429,2721.820483,18607,69833,328704
128k,60,4,8,poisson,727,156,1926.705584,2385.732636,20004,73181,342784
128k,60,3,9,poisson,805,207,1365.326733,2026.998194,26546,76551,354432
128k,60,2,10,poisson,979,358,568.490099,1743.415679,45843,79601,367360
128k,60,15,1,poisson,623,237,1295.2,1903.927839,30448,49498,324608
128k,60,13,3,poisson,613,202,1537.465581,2419.453916,25945,52717,351360
128k,60,12,4,poisson,612,187,1689.506795,2666.014411,23949,54466,364160
128k,60,10,6,poisson,605,152,2138.54519,3116.283665,19484,58073,392576
128k,60,11,5,poisson,606,169,1917.026247,2908.643413,21655,55947,377984
128k,60,9,7,poisson,607,136,2438.726087,3295.928841,17500,60414,406528
128k,60,8,8,poisson,614,125,2615.567402,3355.547256,16039,62597,419840
128k,60,8,8,poisson,615,126,2661.460784,3321.559756,16206,62615,419840
128k,60,7,9,poisson,636,130,2558.594101,3028.108452,16685,64794,433152
128k,60,6,10,poisson,662,136,2421.868204,2734.36916,17448,67349,446592
128k,60,5,11,poisson,682,141,2376.960317,2484.631125,18106,69264,459776
128k,60,4,12,poisson,718,158,1864.203046,2234.193949,20343,71752,473856
128k,60,2,14,poisson,972,376,553.490099,1762.916538,48148,76399,498432
128k,60,18,2,poisson,596,218,1393.549574,2161.760789,28013,48440,415232
128k,60,16,4,poisson,597,195,1622.861244,2558.651972,24961,51474,441344
