block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,10,1,0,poisson,1948,1755,420.362331,1205.423645,224700,24723,103936
128k,10,1,0,poisson,1949,1756,419.860569,1220.501232,224807,24734,103936
128k,10,1,0,poisson,1945,1753,420.966667,1213.264778,224433,24693,103936
128k,10,1,0,poisson,1957,1763,418.707995,1210.100985,225720,24835,103936
128k,10,1,0,poisson,1955,1762,417.856504,1216.236453,225612,24823,103936
128k,10,1,0,poisson,1878,1692,441.018428,1207.747537,216610,23833,103936
128k,10,1,0,poisson,1956,1763,418.848238,1209.434729,225666,24829,103936
128k,10,1,0,poisson,1960,1766,416.25393,1213.216749,226098,24876,103936
128k,10,1,0,poisson,1960,1766,415.688076,1213.178571,226098,24876,103936
128k,10,1,0,poisson,1967,1772,416.125339,1221.695813,226858,24960,103936
128k,10,1,0,poisson,1965,1771,416.181301,1209.816502,226749,24948,103936
128k,10,1,0,poisson,1931,1740,424.150813,1220.139163,222739,24507,103936
128k,10,1,0,poisson,1939,1747,420.724526,1219.796798,223636,24606,103936
128k,10,2,0,poisson,652,588,1467.379946,1967.624384,75270,8281,103936
128k,10,2,0,poisson,652,588,1490.547696,1736.275862,75330,8288,103936
128k,10,2,0,poisson,640,577,1532.42168,1641.507389,73950,8136,103936
128k,10,2,0,poisson,651,587,1492.213415,1749.174877,75246,8279,103936
128k,10,2,0,poisson,652,588,1485.642005,1781.309113,75276,8282,103936
128k,10,2,0,poisson,652,588,1491.21355,1727.418719,75330,8288,103936
128k,10,1,1,poisson,2551,1721,432.04204,1297.662153,220324,106312,576640
128k,10,1,1,poisson,2552,1719,431.680228,1295.956493,220119,106706,576640
128k,10,1,1,poisson,2574,1737,427.526173,1288.270588,222401,107241,576640
128k,10,1,1,poisson,2417,1598,441.300787,1345.721199,204566,104939,576640
128k,10,1,1,poisson,2542,1727,431.141036,1320.344728,221150,104444,576640
128k,10,1,1,poisson,2567,1730,429.185517,1290.039068,221566,107261,576640
128k,10,1,1,poisson,2428,1622,465.568213,1335.943396,207718,103284,576640
128k,10,4,0,poisson,582,525,1636.10664,2270.475369,67277,7402,103936
128k,10,4,0,poisson,582,525,1667.147425,1989.860837,67277,7402,103936
128k,10,3,1,poisson,745,503,1730.13337,2108.249437,64413,31076,341248
128k,10,3,1,poisson,745,503,1721.933044,2126.025131,64402,31070,341248
128k,10,3,1,poisson,744,502,1727.548317,2166.516129,64337,31039,341248
128k,10,3,1,poisson,745,503,1735.752081,2111.58102,64402,31070,341248
128k,10,2,2,poisson,613,287,3040.59642,3395.647059,36783,41770,576640
128k,10,2,2,poisson,618,291,3000.969352,3374.048169,37301,41949,576640
128k,10,2,2,poisson,616,288,3046.145647,3361.321199,36936,41995,576640
128k,10,2,2,poisson,607,280,3128.935991,3379.5596,35910,41925,576640
128k,10,2,2,poisson,614,287,3039.69189,3377.098113,36849,41949,576640
128k,10,1,3,poisson,1900,1341,555.027159,1821.742245,171755,71642,812928
128k,10,1,3,poisson,1853,1296,575.785986,1829.719887,165949,71303,812928
128k,10,6,0,poisson,655,591,1452.49368,2035.745875,75700,8283,38784
128k,10,5,1,poisson,769,577,1484.972656,1869.042969,73931,24643,98304
128k,10,5,1,poisson,769,577,1486.722222,1874.420573,73875,24625,98304
128k,10,4,2,poisson,640,384,2261.821836,3476.962632,49154,32867,157568
128k,10,4,2,poisson,649,389,2235.305269,3184.783916,49862,33340,157568
128k,10,4,2,poisson,649,389,2228.231396,3204.760357,49914,33375,157568
128k,10,3,3,poisson,680,324,2669.596798,3105.23086,41587,45622,217344
128k,10,3,3,poisson,691,331,2618.912664,3073.282686,42389,46086,217344
128k,10,3,3,poisson,688,329,2632.93377,3075.18669,42165,46027,217344
128k,10,3,3,poisson,694,335,2592.386463,3070.762662,42937,45959,217344
128k,10,2,4,poisson,929,456,1846.049505,2233.636616,58468,60582,276864
128k,10,2,4,poisson,919,448,1883.656766,2243.716135,57344,60332,276864
128k,10,1,5,poisson,1982,1328,574.801325,1539.302787,170041,83724,335232
128k,10,8,0,poisson,619,558,1534.228641,2143.633252,71505,7932,52352
128k,10,7,1,poisson,694,546,1567.360472,1917.474943,69897,19070,112384
128k,10,6,2,poisson,609,412,2110.434453,3179.345893,52742,25276,169856
128k,10,5,3,poisson,615,346,2524.008681,3371.948103,44387,34523,229376
128k,10,6,2,poisson,611,413,2100.68978,3168.751319,52955,25378,169856
128k,10,5,3,poisson,615,346,2481.154948,3480.772321,44374,34513,229376
128k,10,4,4,poisson,638,300,2911.178707,3259.009313,38523,43339,288640
128k,10,4,4,poisson,638,300,2919.696904,3265.984479,38410,43306,288640
128k,10,4,4,poisson,633,297,2949.248235,3281.345898,38038,43093,288640
128k,10,3,5,poisson,738,329,2634.237991,2618.438281,42155,52472,348416
128k,10,3,5,poisson,736,327,2643.582969,2619.120132,41974,52464,348416
128k,10,2,6,poisson,966,477,1757.905391,2117.141199,61109,62682,407936
128k,10,1,7,poisson,2292,1677,424.922737,1629.41916,214755,78767,466304
128k,10,11,1,poisson,685,566,1514.171857,1770.82243,72534,15295,68480
128k,10,10,2,poisson,649,487,1771.303385,2648.856771,62362,20787,98304
128k,10,9,3,poisson,650,438,1963.283092,3012.075848,56099,27155,128256
128k,10,8,4,poisson,647,388,2234.970125,3206.090171,49756,33270,157568
128k,10,8,4,poisson,647,388,2234.903313,3197.748172,49756,33270,157568
128k,10,7,5,poisson,642,337,2582.860956,3366.379192,43184,39163,187008
128k,10,6,6,poisson,683,326,2656.707424,3089.646643,41844,45814,217344
128k,10,6,6,poisson,682,325,2667.776565,3094.161955,41656,45775,217344
128k,10,5,7,poisson,751,346,2486.260298,2673.619368,44378,51936,247168
128k,10,5,7,poisson,762,356,2429.992112,2658.778353,45625,52046,247168
128k,10,4,8,poisson,850,395,2155.066007,2327.098012,50631,58360,276864
128k,10,3,9,poisson,1019,515,1638.866764,2045.165341,65930,64608,305792
128k,10,2,10,poisson,2175,1612,438.461369,1787.643757,206348,72077,335232
128k,10,15,1,poisson,647,546,1559.636364,1881.113707,70009,13012,82176
128k,10,13,3,poisson,613,448,1925.973244,3125.96745,57353,21215,141568
128k,10,12,4,poisson,615,416,2082.732756,3154.812359,53298,25542,169856
128k,10,10,6,poisson,599,337,2608.126736,3467.93471,43159,33568,229376
128k,10,11,5,poisson,607,376,2314.325581,3327.769083,48180,29607,199552
128k,10,9,7,poisson,614,310,2817.32029,3463.589339,39771,38926,259328
128k,10,8,8,poisson,639,301,2905.577947,3261.607095,38580,43339,288640
128k,10,8,8,poisson,626,292,3014.016295,3301.145898,37380,42755,288640
128k,10,7,9,poisson,691,318,2753.56797,2902.086922,40784,47774,318080
128k,10,6,10,poisson,736,328,2639.11936,2631.948935,42014,52267,348416
128k,10,5,11,poisson,802,359,2390.990359,2383.003723,46028,56792,378240
128k,10,4,12,poisson,874,396,2140.9978,2178.927204,50786,61214,407936
128k,10,2,14,poisson,2195,1641,437.264901,1806.343124,210086,70996,466304
128k,10,18,2,poisson,596,483,1783.790933,2630.281603,61938,14532,124544
128k,10,16,4,poisson,597,430,2007.192297,3100.766225,55152,21435,183424
128k,10,14,6,poisson,597,375,2311.990056,3347.846477,48097,28427,243456
128k,10,12,8,poisson,595,322,2715.848321,3488.378988,41261,35032,300928
128k,10,13,7,poisson,589,344,2544.21806,3398.714554,44127,31435,272640
128k,10,11,9,poisson,583,289,3053.455656,3490.345722,37044,37716,330624
128k,10,10,10,poisson,633,305,2818.96658,3383.538707,39133,42059,360448
128k,10,9,11,poisson,646,291,3007.002899,3074.005246,37271,45533,390400
128k,10,8,12,poisson,676,296,2952.804997,2835.010369,38007,48713,419712
128k,10,7,13,poisson,733,324,2703.496586,2593.334853,41490,52397,449152
128k,10,6,14,poisson,774,338,2563.172489,2410.317138,43307,55923,479488
128k,10,4,16,poisson,893,402,2096.140814,2099.13156,51551,62865,539008
128k,10,2,18,poisson,2185,1635,434.83223,1815.365117,209328,70436,597376
128k,10,23,2,poisson,573,475,1837.722914,2496.77314,60874,12662,141056
128k,10,20,5,poisson,568,409,2163.008245,3102.306533,52426,20372,229248
128k,10,18,7,poisson,583,378,2297.707258,3407.317798,48387,26288,288384
128k,10,15,10,poisson,582,314,2791.107701,3439.835031,40279,34355,377088
128k,10,17,8,poisson,577,353,2516.333248,3393.516687,45216,28738,318336
128k,10,14,11,poisson,573,288,3040.139528,3523.369893,36928,36515,407296
128k,10,13,12,poisson,580,271,3281.087625,3354.481525,34739,39618,436480
128k,10,12,13,poisson,610,280,3148.307692,3310.289452,35920,42367,464768
128k,10,10,15,poisson,649,277,3179.309462,2899.699219,35497,47671,524288
128k,10,9,16,poisson,692,298,2926.128986,2712.670208,38206,50523,554240
128k,10,8,17,poisson,724,309,2829.281912,2547.504935,39571,53195,583552
128k,10,5,20,poisson,847,369,2314.625767,2153.494391,47249,61307,673152
128k,10,3,22,poisson,1062,541,1552.026354,1934.333392,69329,66786,731776
128k,10,27,3,poisson,535,434,2079.534951,2535.818806,55566,13009,186496
128k,10,24,6,poisson,546,393,2286.32899,2993.302228,50361,19630,275712
128k,10,21,9,poisson,562,354,2499.924158,3340.981345,45439,26678,363648
128k,10,18,12,poisson,509,275,3300.345792,3263.437588,35246,30028,452224
128k,10,20,10,poisson,568,341,2610.29616,3337.318789,43719,29130,393088
128k,10,17,13,poisson,573,292,3013.522872,3519.507831,37433,36037,482176
128k,10,15,15,poisson,567,255,3483.936306,3434.507336,32710,40021,540928
128k,10,14,16,poisson,570,239,3745.770044,3229.99619,30599,42428,571136
128k,10,12,18,poisson,636,270,3266.280246,2939.248422,34680,46974,628608
128k,10,11,19,poisson,663,281,3137.464328,2797.982306,35989,48955,658304
128k,10,9,21,poisson,707,288,3032.547343,2521.381105,36892,53736,718080
128k,10,6,24,poisson,802,331,2621.57933,2189.731684,42440,60308,807168
128k,10,3,27,poisson,1039,515,1637.285505,1921.129484,65930,67077,895616
128k,10,32,3,poisson,532,439,2062.406098,2433.625949,56198,12031,202240
128k,10,28,7,poisson,568,409,2136.474272,3247.680223,52385,20363,321024
128k,10,25,10,poisson,567,364,2413.088935,3393.552607,46718,25992,409984
128k,10,21,14,poisson,565,305,2935.020665,3280.229313,39167,33355,527488
128k,10,23,12,poisson,563,333,2684.887882,3259.824413,42725,29532,468736
128k,10,20,15,poisson,554,285,3089.69603,3563.009423,36540,34495,556928
128k,10,18,17,poisson,557,258,3466.242103,3364.301475,33064,38374,616064
128k,10,16,19,poisson,584,250,3545.697044,3270.243125,32126,42818,674944
128k,10,14,21,poisson,628,264,3317.374767,2977.853013,33898,46608,734976
128k,10,13,22,poisson,649,271,3229.147157,2840.979397,34783,48499,764160
128k,10,11,24,poisson,686,281,3121.290501,2612.437179,36073,51916,822144
128k,10,7,28,poisson,775,310,2816.761018,2217.090897,39754,59607,940672
128k,10,4,31,poisson,910,400,2121.688669,1982.163334,51278,65359,1030528
128k,10,36,4,poisson,560,454,1969.486568,2642.463641,58141,13580,248192
128k,10,32,8,poisson,560,404,2192.451762,3168.702448,51820,20082,366080
128k,10,28,12,poisson,563,355,2504.41274,3281.94113,45486,26705,484864
128k,10,24,16,poisson,554,299,2976.097177,3403.275138,38387,32746,603392
128k,10,26,14,poisson,564,330,2656.382176,3517.90113,42276,29971,543744
128k,10,22,18,poisson,564,279,3195.109773,3414.968309,35720,36495,662400
128k,10,20,20,poisson,560,252,3544.111087,3348.779435,32290,39450,720768
128k,10,18,22,poisson,588,253,3484.681215,3263.565075,32465,42946,779904
128k,10,16,24,poisson,616,256,3448.531869,2998.559286,32848,46183,838784
128k,10,14,26,poisson,653,267,3248.892169,2783.393478,34293,49516,898816
128k,10,12,28,poisson,685,275,3198.679307,2578.158346,35200,52482,956288
128k,10,8,32,poisson,763,301,2896.604563,2232.491368,38637,59219,1075072
128k,10,4,36,poisson,938,425,2002.785479,1962.505734,54471,65790,1194368
128k,10,41,4,poisson,442,364,2531.155713,2550.8878,46649,10044,261248
128k,10,36,9,poisson,547,394,2300.667992,2992.783473,50502,19584,412032
128k,10,32,13,poisson,473,303,3032.327371,3193.049034,38794,21762,529920
128k,10,27,18,poisson,526,284,3195.427607,3193.117236,36461,31036,678016
128k,10,30,15,poisson,483,290,3133.983085,3242.114491,37194,24751,589184
128k,10,25,20,poisson,507,253,3585.346187,3275.523686,32501,32534,737664
128k,10,23,22,poisson,515,237,3852.607022,3207.878978,30337,35629,796416
128k,10,21,24,poisson,553,232,3839.366191,3352.280198,29779,41115,855168
128k,10,18,27,poisson,578,220,4083.361948,3019.33365,28213,45910,943744
128k,10,16,29,poisson,629,248,3590.845945,2808.704966,31763,48779,1002624
128k,10,14,31,poisson,652,250,3550.067433,2631.616719,32104,51520,1062656
128k,10,9,36,poisson,751,293,2924.394686,2267.177884,37513,58695,1209600
