block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,50,1,0,poisson,354,177,4831.218528,784.456474,22673,22729,524928
128k,50,1,0,poisson,749,374,2061.768272,581.630822,47913,48030,524928
128k,50,1,0,poisson,577,288,2907.534588,525.247988,36983,37073,524928
128k,50,1,0,poisson,833,416,1836.440724,536.011217,53319,53449,524928
128k,50,1,0,poisson,729,364,2053.195307,657.26018,46695,46810,524928
128k,50,1,0,poisson,701,350,2228.659985,595.096074,44878,44988,524928
128k,50,1,0,poisson,654,327,2439.996578,589.293587,41868,41970,524928
128k,50,1,0,poisson,1085,542,1302.466879,513.911485,69403,69572,524928
128k,50,1,0,poisson,428,214,3747.667563,888.184101,27426,27493,524928
128k,50,1,0,poisson,829,414,1819.516011,562.366252,53043,53173,524928
128k,50,1,0,poisson,374,187,4581.197018,735.867349,23950,24008,524928
128k,50,2,0,poisson,179,89,10179.477634,906.651548,11510,11538,524928
128k,50,2,0,poisson,333,166,5202.133219,770.738844,21335,21387,524928
128k,50,2,0,poisson,333,166,5129.04571,842.851256,21339,21391,524928
128k,50,2,0,poisson,335,167,5169.356881,765.415508,21465,21517,524928
128k,50,1,1,poisson,845,212,3619.98931,1449.357679,27207,81093,785152
128k,50,1,1,poisson,484,121,6688.782799,1615.806488,15606,46516,785152
128k,50,1,1,poisson,559,140,5848.269679,1493.134822,18016,53700,785152
128k,50,1,1,poisson,575,144,5568.699708,1481.170362,18539,55257,785152
128k,50,1,1,poisson,633,159,5212.145773,1389.482556,20362,60690,785152
128k,50,1,1,poisson,781,196,3850.642857,1492.999837,25147,74954,785152
128k,50,1,1,poisson,657,165,4634.566569,1588.445386,21150,63039,785152
128k,50,4,0,poisson,374,187,4296.857248,1016.651061,23967,24026,524928
128k,50,4,0,poisson,276,138,6433.421168,783.570593,17671,17714,524928
128k,50,3,1,poisson,514,191,4389.01671,935.569066,24549,41344,657920
128k,50,3,1,poisson,462,172,4865.132372,1380.209728,22067,37164,657920
128k,50,2,2,poisson,471,118,7354.001944,1345.257907,15195,45290,785152
128k,50,2,2,poisson,454,114,7707.666181,1386.747473,14607,43537,785152
128k,50,2,2,poisson,451,113,7778.616618,1361.699381,14522,43285,785152
128k,50,2,2,poisson,458,115,7630.470845,1353.913759,14749,43961,785152
128k,50,2,2,poisson,459,115,7587.24344,1377.450766,14806,44131,785152
128k,50,1,3,poisson,698,86,8936.33202,1909.632437,11082,78363,918656
128k,50,1,3,poisson,731,90,8820.161576,1760.994566,11620,82169,918656
128k,50,6,0,poisson,340,171,5168.887881,655.374101,21903,21704,195712
128k,50,5,1,poisson,485,202,4218.138954,891.539922,25944,36273,229248
128k,50,4,2,poisson,486,160,5337.450246,1117.800194,20596,41740,263296
128k,50,4,2,poisson,478,158,5473.368473,1052.34808,20265,41069,263296
128k,50,3,3,poisson,506,126,6626.028646,1559.756076,16227,48681,294912
128k,50,3,3,poisson,506,126,6802.441406,1517.955729,16224,48673,294912
128k,50,3,3,poisson,494,123,7069.518229,1489.958333,15847,47543,294912
128k,50,3,3,poisson,266,66,13408.31901,1574.819444,8571,25713,294912
128k,50,2,4,poisson,411,67,13113.856859,1674.433243,8621,44032,328832
128k,50,2,4,poisson,522,85,9700.451292,1796.457766,10970,56028,328832
128k,50,1,5,poisson,721,75,10362.712598,1796.021292,9633,82692,360704
128k,50,8,0,poisson,321,161,5496.99174,663.14475,20689,20488,260864
128k,50,7,1,poisson,346,152,5913.826184,689.794872,19457,24943,294528
128k,50,5,3,poisson,448,140,5718.26776,1609.018117,17990,39534,360320
128k,50,6,2,poisson,406,153,5639.504213,1105.055621,19585,32406,326784
128k,50,4,4,poisson,384,95,9106.894581,1698.189224,12191,37005,394368
128k,50,4,4,poisson,518,128,6311.303448,1673.160338,16449,49932,394368
128k,50,4,4,poisson,496,123,6881.703448,1607.487829,15759,47836,394368
128k,50,3,5,poisson,566,106,7829.074219,1759.589844,13607,58967,425984
128k,50,3,5,poisson,451,84,10041.509115,1843.252404,10861,47064,425984
128k,50,2,6,poisson,628,77,10123.606362,2095.510994,9885,70613,459904
128k,50,1,7,poisson,731,73,10502.389764,1703.376887,9470,84265,491776
