block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,30,1,0,poisson,1139,796,999.292257,547.034399,101904,44014,316288
128k,30,1,0,poisson,1108,774,1027.884286,561.188992,99078,42793,316288
128k,30,1,0,poisson,1135,793,1020.371089,505.815864,101509,43843,316288
128k,30,1,0,poisson,986,689,1135.08093,682.454472,88248,38116,316288
128k,30,1,0,poisson,1062,742,1067.432092,598.56981,95003,41033,316288
128k,30,1,0,poisson,972,679,1098.886209,814.95346,87032,37590,316288
128k,30,1,0,poisson,390,273,2537.051215,2546.98624,34967,15103,316288
128k,30,1,0,poisson,372,260,2652.887782,2686.358559,33382,14418,316288
128k,30,1,0,poisson,1122,784,1019.100332,547.864832,100354,43344,316288
128k,30,1,0,poisson,1132,791,990.17462,584.15257,101326,43764,316288
128k,30,1,0,poisson,1158,809,1001.19612,492.576285,103591,44742,316288
128k,30,2,0,poisson,747,522,1362.306939,1229.363416,66875,28884,316288
128k,30,2,0,poisson,673,470,1443.624017,1518.584379,60280,26036,316288
128k,30,2,0,poisson,515,360,2087.755113,1538.831647,46148,19932,316288
128k,30,2,0,poisson,727,508,1606.708268,782.945366,65121,28126,316288
128k,30,1,1,poisson,1166,407,2216.561342,742.110298,52203,97272,682368
128k,30,1,1,poisson,860,300,2669.402656,1241.906959,38503,71745,682368
128k,30,1,1,poisson,1188,415,2151.60713,749.42825,53135,99008,682368
128k,30,1,1,poisson,1152,402,2183.745893,781.362221,51535,96027,682368
128k,30,1,1,poisson,927,324,2547.288011,955.690677,41482,77295,682368
128k,30,1,1,poisson,1138,397,2191.650821,841.851435,50918,94878,682368
128k,30,1,1,poisson,1152,402,2227.766166,753.333333,51556,96067,682368
128k,30,4,0,poisson,655,458,1881.304143,646.743828,58676,25343,316288
128k,30,4,0,poisson,570,398,2021.781332,1075.214893,51041,22045,316288
128k,30,3,1,poisson,753,391,2182.883513,1113.111845,50158,46341,503552
128k,30,3,1,poisson,693,360,2375.121653,875.142857,46149,42637,503552
128k,30,2,2,poisson,711,248,3222.480951,1949.356969,31860,59367,682368
128k,30,2,2,poisson,814,284,3008.178609,1351.94804,36442,67904,682368
128k,30,2,2,poisson,616,215,3632.573576,1676.34759,27582,51394,682368
128k,30,2,2,poisson,837,292,2869.778749,1362.050647,37486,69850,682368
128k,30,2,2,poisson,774,270,3133.138064,1421.947477,34645,64557,682368
128k,30,1,3,poisson,766,132,6481.448836,1589.16679,16982,81198,867200
128k,30,1,3,poisson,753,130,6723.533522,1659.237196,16698,79837,867200
128k,30,6,0,poisson,581,405,2142.833178,684.030043,51937,22619,119296
128k,30,5,1,poisson,667,386,2267.645669,836.099691,49464,35999,165632
128k,30,4,2,poisson,701,323,2731.048694,1105.094864,41466,48431,211840
128k,30,4,2,poisson,696,321,2735.717713,1184.754079,41203,48123,211840
128k,30,3,3,poisson,729,253,3488.349578,1295.943142,32479,61032,256640
128k,30,3,3,poisson,700,243,3662.68135,1378.625436,31146,58526,256640
128k,30,3,3,poisson,682,237,3754.143393,1437.79202,30370,57069,256640
128k,30,3,3,poisson,706,245,3551.553889,1414.766584,31454,59106,256640
128k,30,2,4,poisson,747,171,5170.514936,1536.600253,21909,73832,303232
