block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,45,1,0,poisson,1017,558,1205.603295,678.23973,71478,58876,473600
128k,45,1,0,poisson,999,548,1322.825022,574.118378,70238,57854,473600
128k,45,1,0,poisson,997,547,1274.252004,642.57973,70016,57671,473600
128k,45,1,0,poisson,966,530,1330.857747,638.571351,67899,55928,473600
128k,45,1,0,poisson,1001,549,1262.500668,643.661081,70350,57946,473600
128k,45,1,0,poisson,985,540,1334.905833,590.753514,69190,56991,473600
128k,45,1,0,poisson,992,544,1315.998219,601.898108,69660,57378,473600
128k,45,1,0,poisson,978,536,1363.902048,575.352162,68719,56603,473600
128k,45,1,0,poisson,963,528,1331.871104,648.983514,67660,55730,473600
128k,45,1,0,poisson,965,529,1380.260908,583.711081,67795,55842,473600
128k,45,1,0,poisson,783,429,1717.877783,701.474865,55026,45324,473600
128k,45,2,0,poisson,682,374,2102.875779,657.404595,47946,39492,473600
128k,45,2,0,poisson,684,375,2043.471505,714.765946,48095,39615,473600
128k,45,2,0,poisson,640,351,2240.508014,699.481622,44986,37055,473600
128k,45,2,0,poisson,662,363,2147.818566,699.57,46552,38345,473600
128k,45,1,1,poisson,840,229,3344.126118,1385.369711,29402,78320,762368
128k,45,1,1,poisson,841,229,3208.94678,1479.950302,29408,78336,762368
128k,45,1,1,poisson,859,234,3394.355546,1290.61904,30051,80047,762368
128k,45,1,1,poisson,837,228,3337.031306,1412.069006,29300,78047,762368
128k,45,1,1,poisson,852,232,3303.559928,1364.021491,29813,79413,762368
128k,45,1,1,poisson,839,229,3255.753578,1440.590497,29318,78095,762368
128k,45,1,1,poisson,837,228,3325.276386,1387.45131,29300,78047,762368
128k,45,4,0,poisson,481,264,2892.727738,1050.58027,33830,27865,473600
128k,45,4,0,poisson,517,284,2808.11821,836.113514,36354,29944,473600
128k,45,3,1,poisson,565,230,3410.715916,1322.382764,29440,42984,622336
128k,45,3,1,poisson,586,238,3213.444745,1390.350267,30574,44640,622336
128k,45,2,2,poisson,659,180,4394.257156,1708.807421,23053,61407,762368
128k,45,2,2,poisson,660,180,4180.136404,1784.435863,23071,61456,762368
128k,45,2,2,poisson,796,217,3601.284884,1385.287441,27852,74189,762368
128k,45,2,2,poisson,831,227,3547.93068,1283.449295,29062,77413,762368
128k,45,2,2,poisson,803,219,3669.461986,1348.71407,28073,74778,762368
128k,45,1,3,poisson,785,104,7681.82967,1591.471127,13419,87250,908800
128k,45,1,3,poisson,700,93,8406.849817,1729.751127,11958,77754,908800
128k,45,6,0,poisson,539,292,2765.07988,738.805259,37488,31679,180096
128k,45,5,1,poisson,656,294,2752.362119,909.838843,37713,46361,216832
128k,45,4,2,poisson,713,253,3165.3837,1153.967677,32483,58898,253440
128k,45,4,2,poisson,749,266,2949.571429,1097.886869,34125,61875,253440
128k,45,3,3,poisson,733,197,4064.456522,1499.384581,25336,68666,287232
128k,45,3,3,poisson,753,203,3954.865942,1432.432264,26008,70486,287232
128k,45,3,3,poisson,728,196,4160.21256,1474.657754,25132,68112,287232
128k,45,3,3,poisson,761,205,3930.541063,1419.64082,26285,71238,287232
128k,45,2,4,poisson,758,133,6145.051756,1560.948637,17119,80090,323968
128k,45,2,4,poisson,717,126,6312.221811,1704.27499,16190,75746,323968
128k,45,1,5,poisson,757,82,9681.577061,1704.711063,10597,86437,357504
128k,45,8,0,poisson,469,256,3182.760733,823.889785,32859,27334,238080
128k,45,7,1,poisson,488,231,3616.249743,908.415506,29687,32928,275712
128k,45,5,3,poisson,640,215,3783.202467,1328.164459,27611,54462,347904
128k,45,6,2,poisson,632,257,3080.448649,1135.921432,32934,48086,311168
128k,45,4,4,poisson,666,177,4479.59707,1617.944407,22753,62593,384512
128k,45,4,4,poisson,694,185,4195.552198,1627.010652,23706,65215,384512
128k,45,4,4,poisson,688,183,4396.394689,1525.683755,23535,64743,384512
128k,45,3,5,poisson,708,143,5611.786232,1721.420135,18342,72395,418304
128k,45,3,5,poisson,660,133,5911.59058,1915.542228,17096,67479,418304
128k,45,2,6,poisson,691,91,8732.946396,1902.250633,11699,76877,455040
128k,45,1,7,poisson,731,81,9609.688172,1717.848048,10417,83204,488576
128k,45,11,1,poisson,392,195,4472.706614,819.596117,24968,25263,197760
128k,45,10,2,poisson,488,219,3773.37881,1065.891381,28104,34549,216832
128k,45,8,4,poisson,562,200,4145.612637,1258.714646,25614,46443,253440
128k,45,8,4,poisson,473,168,5108.887363,1244.75303,21590,39147,253440
128k,45,6,6,poisson,602,162,4924.078502,1819.779412,20797,56364,287232
128k,45,6,6,poisson,628,169,4790.111111,1682.298128,21700,58810,287232
